,REGULAR,ABNORMAL,NECROTIC,UNFERTILIZED,NONVIABLE,Total,fert success %,Temperature,female,regular,abnormal,necrotic,unfertilized,nonviable,female
T1,59,7,2,9,1,78,76.62337662,3.38,F1,75.64102564,8.974358974,2.564102564,11.53846154,1.282051282,F1
T2,69,0,7,8,0,84,82.14285714,4.28,F1,82.14285714,0,8.333333333,9.523809524,0,F1
T3,60,3,7,9,0,79,75.94936709,5.36,F1,75.94936709,3.797468354,8.860759494,11.39240506,0,F1
T4,68,3,6,5,2,84,82.92682927,6.46,F1,80.95238095,3.571428571,7.142857143,5.952380952,2.380952381,F1
T5,62,13,11,4,0,90,68.88888889,7.44,F1,68.88888889,14.44444444,12.22222222,4.444444444,0,F1
T6,64,7,8,3,1,83,78.04878049,8.58,F1,77.10843373,8.43373494,9.638554217,3.614457831,1.204819277,F1
T7,60,10,4,1,0,75,80,9.58,F1,80,13.33333333,5.333333333,1.333333333,0,F1
T8,57,18,11,6,0,92,61.95652174,10.8,F1,61.95652174,19.56521739,11.95652174,6.52173913,0,F1
T9,57,21,8,4,1,91,63.33333333,12.44,F1,62.63736264,23.07692308,8.791208791,4.395604396,1.098901099,F1
T10,36,14,8,10,1,69,52.94117647,14.14,F1,52.17391304,20.28985507,11.5942029,14.49275362,1.449275362,F1
T1,24,16,7,12,0,59,40.6779661,3.38,F2,40.6779661,27.11864407,11.86440678,20.33898305,0,F2
T2,27,20,6,9,0,62,43.5483871,4.28,F2,43.5483871,32.25806452,9.677419355,14.51612903,0,F2
T3,27,11,3,15,0,56,48.21428571,5.36,F2,48.21428571,19.64285714,5.357142857,26.78571429,0,F2
T4,24,17,8,14,0,63,38.0952381,6.46,F2,38.0952381,26.98412698,12.6984127,22.22222222,0,F2
T5,32,18,6,10,0,66,48.48484848,7.44,F2,48.48484848,27.27272727,9.090909091,15.15151515,0,F2
T6,35,19,7,13,1,75,47.2972973,8.58,F2,46.66666667,25.33333333,9.333333333,17.33333333,1.333333333,F2
T7,37,11,5,12,0,65,56.92307692,9.58,F2,56.92307692,16.92307692,7.692307692,18.46153846,0,F2
T8,34,18,7,10,0,69,49.27536232,10.8,F2,49.27536232,26.08695652,10.14492754,14.49275362,0,F2
T9,35,15,13,12,0,75,46.66666667,12.44,F2,46.66666667,20,17.33333333,16,0,F2
T10,21,28,7,14,0,70,30,14.14,F2,30,40,10,20,0,F2
T1,76,10,3,9,0,98,77.55102041,3.38,F3,77.55102041,10.20408163,3.06122449,9.183673469,0,F3
T2,78,3,4,9,0,94,82.9787234,4.28,F3,82.9787234,3.191489362,4.255319149,9.574468085,0,F3
T3,75,9,7,9,1,101,75,5.36,F3,74.25742574,8.910891089,6.930693069,8.910891089,0.99009901,F3
T4,82,6,0,7,2,97,86.31578947,6.46,F3,84.53608247,6.18556701,0,7.216494845,2.06185567,F3
T5,71,6,1,1,0,79,89.87341772,7.44,F3,89.87341772,7.594936709,1.265822785,1.265822785,0,F3
T6,76,8,5,5,1,95,80.85106383,8.58,F3,80,8.421052632,5.263157895,5.263157895,1.052631579,F3
T7,78,10,2,8,0,98,79.59183673,9.58,F3,79.59183673,10.20408163,2.040816327,8.163265306,0,F3
T8,70,13,2,4,2,91,78.65168539,10.8,F3,76.92307692,14.28571429,2.197802198,4.395604396,2.197802198,F3
T9,60,15,1,8,0,84,71.42857143,12.44,F3,71.42857143,17.85714286,1.19047619,9.523809524,0,F3
T10,45,19,3,7,0,74,60.81081081,14.14,F3,60.81081081,25.67567568,4.054054054,9.459459459,0,F3
T1,83,2,2,19,0,106,78.30188679,3.38,F4,78.30188679,1.886792453,1.886792453,17.9245283,0,F4
T2,70,4,3,24,0,101,69.30693069,4.28,F4,69.30693069,3.96039604,2.97029703,23.76237624,0,F4
T3,72,4,5,18,0,99,72.72727273,5.36,F4,72.72727273,4.04040404,5.050505051,18.18181818,0,F4
T4,70,7,8,16,0,101,69.30693069,6.46,F4,69.30693069,6.930693069,7.920792079,15.84158416,0,F4
T5,73,9,2,21,0,105,69.52380952,7.44,F4,69.52380952,8.571428571,1.904761905,20,0,F4
T6,51,4,1,28,0,84,60.71428571,8.58,F4,60.71428571,4.761904762,1.19047619,33.33333333,0,F4
T7,62,8,7,22,0,99,62.62626263,9.58,F4,62.62626263,8.080808081,7.070707071,22.22222222,0,F4
T8,67,8,4,22,0,101,66.33663366,10.8,F4,66.33663366,7.920792079,3.96039604,21.78217822,0,F4
T9,60,13,2,32,0,107,56.07476636,12.44,F4,56.07476636,12.14953271,1.869158879,29.90654206,0,F4
T10,43,24,2,34,0,103,41.74757282,14.14,F4,41.74757282,23.30097087,1.941747573,33.00970874,0,F4
