Species,Area,Units,Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
COD,27.14_NK,TLW,DE,0,0,0,0,1772.9,0,2128.9,364.79,840.51,1792.86,69,0,0,0,0
COD,27.2.a,TLW,DE,4173.9917,3013,2789,1177.12,1657.2,906.4,567.3,484.54,1801.89,1406.85,3578,3567.4,2801.7,2455.2,2485.1
COD,27.2.a.1,TLW,DE,0,0,0,0,1657.2,0,0,0,1801.89,1406.85,3578,3567.4,2801.7,0,0
COD,27.2.a.2,TLW,DE,4173.9917,3013,2789,1177.12,0,906.4,0,0,0,0,0,0,0,0,0
COD,27.2.a_NK,TLW,DE,0,0,0,0,0,0,567.3,484.54,0,0,0,0,0,2455.2,2485.1
COD,27.2.b,TLW,DE,2600.8589,2619,3773,2704.69,2265.44,1899.21,3679.1,5363.51,4166.27,3214.62,3838,4665,1379,1972.5,1037.1
COD,27.2.b.1,TLW,DE,0,0,0,0,2265.44,0,3679.1,0,4166.27,3214.62,3838,4665,1379,0,0
COD,27.2.b.2,TLW,DE,2600.8589,2619,3773,2704.69,0,1899.21,0,0,0,0,0,0,0,0,0
COD,27.2.b_NK,TLW,DE,0,0,0,0,0,0,0,5363.51,0,0,0,0,0,1972.5,1037.1
COD,27.3.a,TLW,DE,34.913,53,87,67.21,93.83,87.22,84.49,68.69,77.57,60.08,56,54.5,51.9,66.7,83.5
COD,27.3.a.20,TLW,DE,0,52,86,67.07,93.83,0,0,0,0,0,0,0,0,0,0
COD,27.3.a.21,TLW,DE,34.913,1,1,0.13,0,0,0,0,0,0,0,0,0,0,0
COD,27.3.a_NK,TLW,DE,0,0,0,0,0,87.22,84.49,68.69,77.57,60.08,56,54.5,51.9,66.7,83.5
COD,27.3.c.22,TLW,DE,691.2348,1632,1010,815.95,1798.75,2509.27,2421.62,2247.76,2376.66,2582.47,2107,1448,2720.6,4060.6,4676.8
COD,27.3.d,TLW,DE,260.0231,609,627,512.17,1872.02,2420.68,2101.7,1604.35,4628.8,5110.88,6051,5801.4,5107.4,5085.8,4881.1
COD,27.3.d.24,TLW,DE,247.2869,328,381,212.06,860.92,799.24,1310.42,1063.64,2171.74,1948.26,2143,2572,2766.1,3556.5,2855.6
COD,27.3.d.25,TLW,DE,12.7363,185,198,286.43,966.05,1504.44,791.28,508.21,2415.85,3062.54,3798,3219.1,2341.3,1527.5,1999.2
COD,27.3.d.26,TLW,DE,0,96,48,13.67,44.99,116.99,0,32.49,41.22,100.08,110,10.3,0,1.8,26.3
COD,27.3.d.28,TLW,DE,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
COD,27.3.d.28.2,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.3.d.28_NK,TLW,DE,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
COD,27.3.d_NK,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.4.a,TLW,DE,541.4331,531,892,1464.39,1104.67,1255.67,1096.55,1109.53,1112.88,941.96,523,421.8,472.7,507,432.9
COD,27.4.b,TLW,DE,214.0954,290,615,833.57,974.89,864.74,1157.05,809.78,1267.52,1259.22,2273,1908.1,1252.2,1382.1,2080.7
COD,27.4.c,TLW,DE,1.7053,3,3,1.61,3.75,12.92,3.14,1.26,4.43,10.17,48,43.7,10.6,10.3,23.4
COD,27.5.a,TLW,DE,0,4,10,0.24,0,0.18,3.03,0.62,5.53,0,0,0,0,0,37.5
COD,27.5.a.2,TLW,DE,0,4,10,0.24,0,0,0,0,0,0,0,0,0,0,0
COD,27.5.a_NK,TLW,DE,0,0,0,0,0,0.18,3.03,0.62,5.53,0,0,0,0,0,37.5
COD,27.5.b,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COD,27.5.b.1,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COD,27.5.b.1_NK,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COD,27.5.b_NK,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.6.a,TLW,DE,0,0,0,0,0,0,0,0,0.04,0,0,0.1,0.6,2.1,2.1
COD,27.6.b,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.6.b_NK,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.7.b,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.7.j,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,27.7.j_NK,TLW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
